toussaint,ritter,,,,,
238592,6,3965,,,,
238848,6,4022,,,,
239104,8,4016,,,,
239360,6,3987,,,,
239616,6,3981,,,,
239872,6,4010,,,,
240128,5,4020,,,,
240384,7,4037,,,,
240640,6,4066,,,,
240896,6,3989,,,,
241152,6,4066,,,,
241408,6,4080,,,,
241664,6,4102,,,,
241920,6,4033,,,,
242176,6,4118,,,,
242432,6,4101,,,,
242688,6,4050,,,,
242944,6,4101,,,,
243200,6,4007,,,,
243456,5,4066,,,,
243712,6,4038,,,,
243968,6,4028,,,,
244224,6,4035,,,,
244480,6,4044,,,,
244736,5,4043,,,,
244992,6,4071,,,,
245248,6,4070,,,,
245504,7,4084,,,,
245760,6,4092,,,,
246016,6,4107,,,,
246272,5,4136,,,,
246528,6,4123,,,,
246784,6,4126,,,,
247040,6,4138,,,,
247296,6,4153,,,,
247552,6,4141,,,,
247808,6,4173,,,,
248064,6,4174,,,,
248320,8,4176,,,,
248576,6,4189,,,,
248832,6,4201,,,,
249088,6,4197,,,,
249344,6,4212,,,,
249600,5,4202,,,,
249856,6,4253,,,,
